District Short,District Long,State_Short,State,Wikipedia Page,Wikipedia_Mobile,Rep First Last,"Rep Last, First",Website,Party,ACHA Vote,Margin of Victory 2016,Total Vote,Top Opponent,Hispanic,White,Black,Native American,Asian,Pacific,Other,Multiple Races,Total,Senator 1,Senator 2,Room,Phone
MI-12,Michigan District 12,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_12th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_12th_congressional_district,Debbie Dingell,"Dingell, Debbie ",https://debbiedingell.house.gov/,Democrat,N,35.10%,"328,542",Jeff Jones,"37,853","537,481","72,800","1,885","33,658",72,884,"19,822","704,455",Peters,Stabenow,116 CHOB,202-225-4071
MI-13,Michigan District 13,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_13th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_13th_congressional_district,John Conyers Jr.,"Conyers Jr., John ",https://conyers.house.gov/,Democrat,N,61.40%,"257,797",Jeff Gorman,"45,839","235,305","392,049","2,357","8,164",85,883,"15,052","699,734",Peters,Stabenow,2426 RHOB,202-225-5126
MI-14,Michigan District 14,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_14th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_14th_congressional_district,Brenda Lawrence,"Lawrence, Brenda ",https://lawrence.house.gov/,Democrat,N,59.80%,"310,974",Howard Klausner,"32,262","219,945","404,364","1,672","28,476",67,"1,600","16,515","704,901",Peters,Stabenow,1213 LHOB,202-225-5802
MI-2,Michigan District 2,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_2nd_congressional_district,Bill Huizenga,"Huizenga, Bill ",https://huizenga.house.gov/,Republican,Y,30.10%,"339,328",Dennis Murphy,"59,921","574,864","40,689","2,980","15,382",91,359,"14,934","709,220",Peters,Stabenow,2232 RHOB,202-225-4401
MI-3,Michigan District 3,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_3rd_congressional_district,Justin Amash,"Amash, Justin ",https://amash.house.gov/,Republican,Y,21.90%,"342,365",Douglas Smith,"50,690","568,009","61,373","2,593","10,390",108,941,"16,509","710,613",Peters,Stabenow,114 CHOB,202-225-3831
MI-4,Michigan District 4,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_4th_congressional_district,John Moolenaar,"Moolenaar, John ",https://moolenaar.house.gov/,Republican,Y,29.50%,"315,751",Debra Wirth,"19,891","648,889","13,045","4,305","6,923",147,515,"10,454","704,169",Peters,Stabenow,117 CHOB,202-225-3561
MI-5,Michigan District 5,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_5th_congressional_district,Dan Kildee,"Kildee, Daniel ",https://dankildee.house.gov/,Democrat,N,26.10%,"319,291",Allen Hardwick,"31,635","522,207","120,591","2,838","5,536",180,518,"17,077","700,582",Peters,Stabenow,227 CHOB,202-225-3611
MI-6,Michigan District 6,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_6th_congressional_district,Fred Upton,"Upton, Fred ",https://upton.house.gov/,Republican,Y,22.20%,"329,565",Paul Clements,"38,632","579,325","59,430","3,197","10,492",215,664,"15,832","707,787",Peters,Stabenow,2183 RHOB,202-225-3761
MI-7,Michigan District 7,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_7th_congressional_district,Tim Walberg,"Walberg, Tim ",https://walberg.house.gov/,Republican,Y,15%,"334,807",Gretchen Driskell,"28,089","626,268","28,092","2,418","6,323",129,807,"12,771","704,897",Peters,Stabenow,2436 RHOB,202-225-6276
MI-8,Michigan District 8,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_8th_congressional_district,Mike Bishop,"Bishop, Mike ",https://mikebishop.house.gov/,Republican,Y,16.90%,"366,968",Suzanna Shkreli,"33,012","592,025","38,267","1,734","26,523",139,504,"17,084","709,288",Peters,Stabenow,428 CHOB,202-225-4872
MI-9,Michigan District 9,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_9th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_9th_congressional_district,Sander M. Levin,"Levin, Sander ",https://levin.house.gov/,Democrat,N,20.50%,"344,775",Christopher Morse,"13,913","573,614","76,295","2,122","27,055",211,"1,441","15,143","709,794",Peters,Stabenow,1236 LHOB,202-225-4961
MN-1,Minnesota District 1,MN,Minnesota,https://en.wikipedia.org/wiki/Minnesota%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Minnesota%27s_1st_congressional_district,Tim Walz,"Walz, Timothy J. ",https://walz.house.gov/,Democrat,N,0.80%,"335,877",Jim Hagedorn,"38,150","584,376","15,620","1,345","14,834",164,457,"9,918","664,864",Franken,Klobuchar,2313 RHOB,202-225-2472
MN-2,Minnesota District 2,MN,Minnesota,https://en.wikipedia.org/wiki/Minnesota%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Minnesota%27s_2nd_congressional_district,Jason Lewis,"Lewis, Jason ",https://jasonlewis.house.gov/,Republican,Y,1.80%,"370,514",Angie Craig,"36,055","561,313","25,170","2,606","28,732",335,"1,082","14,773","670,066",Franken,Klobuchar,418 CHOB,202-225-2271
MN-3,Minnesota District 3,MN,Minnesota,https://en.wikipedia.org/wiki/Minnesota%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Minnesota%27s_3rd_congressional_district,Erik Paulsen,"Paulsen, Erik ",https://paulsen.house.gov/,Republican,Y,13.70%,"393,464",Terri Bonoff,"26,823","541,754","44,093","2,371","41,469",167,"1,105","15,597","673,379",Franken,Klobuchar,127 CHOB,202-225-2871
MN-4,Minnesota District 4,MN,Minnesota,https://en.wikipedia.org/wiki/Minnesota%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Minnesota%27s_4th_congressional_district,Betty McCollum,"McCollum, Betty ",https://mccollum.house.gov/,Democrat,N,23.40%,"351,944",Greg Ryan,"42,503","472,689","61,860","3,082","72,238",278,673,"19,033","672,356",Franken,Klobuchar,2256 RHOB,202-225-6631
MN-5,Minnesota District 5,MN,Minnesota,https://en.wikipedia.org/wiki/Minnesota%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Minnesota%27s_5th_congressional_district,Keith Ellison,"Ellison, Keith ",https://ellison.house.gov/,Democrat,N,46.80%,"361,882",Frank Drake,"61,317","436,038","101,949","6,904","39,785",284,"2,115","24,459","672,851",Franken,Klobuchar,2263 RHOB,202-225-4755
MN-6,Minnesota District 6,MN,Minnesota,https://en.wikipedia.org/wiki/Minnesota%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Minnesota%27s_6th_congressional_district,Tom Emmer,"Emmer, Tom ",https://emmer.house.gov/,Republican,Y,31.30%,"358,924",David Snyder,"16,662","608,376","14,526","2,877","15,081",144,512,"11,422","669,600",Franken,Klobuchar,315 CHOB,202-225-2331
MN-7,Minnesota District 7,MN,Minnesota,https://en.wikipedia.org/wiki/Minnesota%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Minnesota%27s_7th_congressional_district,Collin C. Peterson,"Peterson, Collin C. ",https://collinpeterson.house.gov/,Democrat,N,5%,"330,848",Dave Hughes,"26,434","597,766","5,502","17,070","5,246",513,293,"9,207","662,031",Franken,Klobuchar,2204 RHOB,202-225-2165
MN-8,Minnesota District 8,MN,Minnesota,https://en.wikipedia.org/wiki/Minnesota%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Minnesota%27s_8th_congressional_district,Rick Nolan,"Nolan, Rick ",https://nolan.house.gov/,Democrat,N,0.60%,"356,979",Stewart Mills,"9,200","613,858","6,413","17,014","4,135",197,220,"11,556","662,593",Franken,Klobuchar,2366 RHOB,202-225-6211
MS-1,Mississippi District 1,MS,Mississippi,https://en.wikipedia.org/wiki/Mississippi%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Mississippi%27s_1st_congressional_district,Trent Kelly,"Kelly, Trent ",https://trentkelly.house.gov/,Republican,Y,40.80%,"300,423",Jacob Owens,"22,828","510,822","195,379","1,027","5,370",182,525,"9,813","745,946",Cochran,Wicker,1721 LHOB,202-225-4306
MS-2,Mississippi District 2,MS,Mississippi,https://en.wikipedia.org/wiki/Mississippi%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Mississippi%27s_2nd_congressional_district,Bennie Thompson,"Thompson, Bennie G. ",https://benniethompson.house.gov/,Democrat,N,38%,"286,626",John Bouie II,"13,259","236,952","476,242","2,092","3,752",60,130,"4,150","736,637",Cochran,Wicker,2466 RHOB,202-225-5876
MS-3,Mississippi District 3,MS,Mississippi,https://en.wikipedia.org/wiki/Mississippi%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Mississippi%27s_3rd_congressional_district,Gregg Harper,"Harper, Gregg ",https://harper.house.gov/,Republican,Y,35.80%,"316,445",Dennis Quinn,"16,771","449,061","259,778","7,274","7,177",7,411,"5,184","745,663",Cochran,Wicker,2227 RHOB,202-225-5031
MS-4,Mississippi District 4,MS,Mississippi,https://en.wikipedia.org/wiki/Mississippi%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Mississippi%27s_4th_congressional_district,Steven M. Palazzo,"Palazzo, Steven ",https://palazzo.house.gov/,Republican,Y,37.20%,"278,779",Mark Gladney,"28,575","523,717","171,295","1,699","11,231",23,"1,008","11,078","748,626",Cochran,Wicker,2349 RHOB,202-225-5772
MO-1,Missouri District 1,MO,Missouri,https://en.wikipedia.org/wiki/Missouri%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Missouri%27s_1st_congressional_district,William Lacy Clay,"Clay Jr., William ""Lacy"" ",https://lacyclay.house.gov/,Democrat,N,55.50%,"314,024",Steven Bailey,"22,559","319,508","364,664","1,287","19,161",98,"1,327","18,964","747,568",Blunt,McCaskill,2428 RHOB,202-225-2406
MO-2,Missouri District 2,MO,Missouri,https://en.wikipedia.org/wiki/Missouri%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Missouri%27s_2nd_congressional_district,Ann Wagner,"Wagner, Ann ",https://wagner.house.gov/,Republican,Y,20.90%,"413,296",Bill Otto,"18,906","662,983","26,740",681,"29,978",163,887,"11,671","752,009",Blunt,McCaskill,435 CHOB,202-225-1621
MO-3,Missouri District 3,MO,Missouri,https://en.wikipedia.org/wiki/Missouri%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Missouri%27s_3rd_congressional_district,Blaine Luetkemeyer,"Luetkemeyer, Blaine ",https://luetkemeyer.house.gov/,Republican,Y,39.90%,"368,333",Kevin Miller,"16,959","692,288","24,309","1,801","6,282",365,798,"11,076","753,878",Blunt,McCaskill,2230 RHOB,202-225-2956
MO-4,Missouri District 4,MO,Missouri,https://en.wikipedia.org/wiki/Missouri%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Missouri%27s_4th_congressional_district,Vicky Hartzler,"Hartzler, Vicky ",https://hartzler.house.gov/,Republican,Y,40%,"332,234",Gordon Christensen,"25,607","660,202","33,374","2,853","10,358",716,"1,183","17,635","751,928",Blunt,McCaskill,2235 RHOB,202-225-2876
MO-5,Missouri District 5,MO,Missouri,https://en.wikipedia.org/wiki/Missouri%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Missouri%27s_5th_congressional_district,Emanuel Cleaver II,"Cleaver, Emanuel ",https://cleaver.house.gov/,Democrat,N,20.70%,"324,270",Jacob Turk,"63,048","488,622","162,686","2,714","12,425","1,961","1,624","17,376","750,456",Blunt,McCaskill,2335 RHOB,202-225-4535
MO-6,Missouri District 6,MO,Missouri,https://en.wikipedia.org/wiki/Missouri%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Missouri%27s_6th_congressional_district,Sam Graves,"Graves, Sam ",https://graves.house.gov/,Republican,Y,39.60%,"350,444",David Blackwell,"26,377","670,030","28,601","2,217","8,035","1,079",783,"14,345","751,467",Blunt,McCaskill,1135 LHOB,202-225-7041
MO-7,Missouri District 7,MO,Missouri,https://en.wikipedia.org/wiki/Missouri%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Missouri%27s_7th_congressional_district,Billy Long,"Long, Billy ",https://long.house.gov/,Republican,Y,40.10%,"338,607",Genevieve Williams,"33,385","672,045","12,024","5,965","8,102","1,488",317,"19,564","752,890",Blunt,McCaskill,2454 RHOB,202-225-6536
MO-8,Missouri District 8,MO,Missouri,https://en.wikipedia.org/wiki/Missouri%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Missouri%27s_8th_congressional_district,Jason Smith,"Smith, Jason ",https://jasonsmith.house.gov/,Republican,Y,51.70%,"308,871",Dave Cowell,"12,864","682,250","33,510","2,947","3,719",303,284,"11,109","746,986",Blunt,McCaskill,1118 LHOB,202-225-4404
MT-AL,Montana's At-Large District,MT,Montana,https://en.wikipedia.org/wiki/Montana%27s_at-large_congressional_district,https://en.m.wikipedia.org/wiki/Montana%27s_at-large_congressional_district,"Zinke, Ryan -- Vacancy","Zinke, Ryan -- Vacancy",https://clerk.house.gov/member_info/vacancies_pr.aspx?pr=house&vid=109,Vacant,Vacant,15.60%,"507,831",Denise Juneau,"30,490","873,108","3,941","62,353","6,069",652,513,"21,428","998,554",Daines,Tester,1419 LHOB,202-225-3211
NE-1,Nebraska District 1,NE,Nebraska,https://en.wikipedia.org/wiki/Nebraska%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Nebraska%27s_1st_congressional_district,Jeff Fortenberry,"Fortenberry, Jeff ",https://fortenberry.house.gov/,Republican,Y,38.90%,"273,238",Daniel Wik,"48,199","519,410","16,153","6,579","12,993",633,356,"10,623","614,946",Fischer,Sasse,1514 LHOB,202-225-4806
NE-2,Nebraska District 2,NE,Nebraska,https://en.wikipedia.org/wiki/Nebraska%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Nebraska%27s_2nd_congressional_district,Don Bacon,"Bacon, Don ",https://bacon.house.gov/,Republican,Y,1.20%,"288,308",Brad Ashford,"63,283","460,032","60,548","2,397","16,456",278,"1,118","14,403","618,515",Fischer,Sasse,1516 LHOB,202-225-4155
NE-3,Nebraska District 3,NE,Nebraska,https://en.wikipedia.org/wiki/Nebraska%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Nebraska%27s_3rd_congressional_district,Adrian Smith,"Smith, Adrian ",https://adriansmith.house.gov/,Republican,Y,100%,"226,720",Unopposed,"62,421","524,456","5,507","4,256","4,320",308,203,"6,693","608,164",Fischer,Sasse,320 CHOB,202-225-6435
NV-1,Nevada District 1,NV,Nevada,https://en.wikipedia.org/wiki/Nevada%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Nevada%27s_1st_congressional_district,Dina Titus,"Titus, Dina ",https://titus.house.gov/,Democrat,N,33.10%,"188,352",Mary Perry,"286,301","238,370","63,123","2,661","51,165","3,693","1,145","16,769","663,227",Cortez Masto,Heller,2464 RHOB,202-225-5965
NV-2,Nevada District 2,NV,Nevada,https://en.wikipedia.org/wiki/Nevada%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Nevada%27s_2nd_congressional_district,Mark Amodei,"Amodei, Mark ",https://amodei.house.gov/,Republican,Y,21.40%,"313,336",Chip Evans,"141,895","467,455","12,474","13,076","25,974","2,997",605,"15,103","679,579",Cortez Masto,Heller,332 CHOB,202-225-6155
NV-3,Nevada District 3,NV,Nevada,https://en.wikipedia.org/wiki/Nevada%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Nevada%27s_3rd_congressional_district,Jacky Rosen,"Rosen, Jacky ",https://rosen.house.gov/,Democrat,N,1.30%,"310,963",Danny Tarkanian,"110,329","423,131","45,139","2,564","88,276","5,630",997,"24,821","700,887",Cortez Masto,Heller,413 CHOB,202-225-3252
NV-4,Nevada District 4,NV,Nevada,https://en.wikipedia.org/wiki/Nevada%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Nevada%27s_4th_congressional_district,Ruben Kihuen,"Kihuen, Ruben J. ",https://kihuen.house.gov/,Democrat,N,4%,"265,846",Cresent Hardy,"195,572","328,839","95,373","6,012","33,691","3,854","1,481","21,551","686,373",Cortez Masto,Heller,313 CHOB,202-225-9894
NH-1,New Hampshire District 1,NH,New Hampshire,https://en.wikipedia.org/wiki/New_Hampshire%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/New_Hampshire%27s_1st_congressional_district,Carol Shea-Porter,"Shea-Porter, Carol ",https://shea-porter.house.gov/,Democrat,N,1.30%,"365,572",Frank Guinta,"19,092","607,812","9,339",950,"13,955",25,781,"9,024","660,978",Hassan,Shaheen,1530 LHOB,202-225-5456
NH-2,New Hampshire District 2,NH,New Hampshire,https://en.wikipedia.org/wiki/New_Hampshire%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/New_Hampshire%27s_2nd_congressional_district,Ann McLane Kuster,"Kuster, Ann ",https://kuster.house.gov/,Democrat,N,4.40%,"350,272",Jim Lawrence,"19,725","605,110","5,195","1,250","15,264",189,"1,196","10,264","658,193",Hassan,Shaheen,137 CHOB,202-225-5206
NJ-1,New Jersey District 1,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_1st_congressional_district,Donald Norcross,"Norcross, Donald ",https://norcross.house.gov/,Democrat,N,23.20%,"305,473",Bob Patterson,"87,499","477,699","117,382","1,175","33,964",113,"1,427","13,737","732,996",Booker,Menendez,1531 LHOB,202-225-6501
NJ-10,New Jersey District 10,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_10th_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_10th_congressional_district,Donald M. Payne Jr.,"Payne Jr., Donald ",https://payne.house.gov/,Democrat,N,73.80%,"222,771",David Pinckney,"128,127","156,068","380,452","1,030","49,155",184,"6,079","10,916","732,011",Booker,Menendez,132 CHOB,202-225-3436
NJ-11,New Jersey District 11,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_11th_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_11th_congressional_district,Rodney Frelinghuysen,"Frelinghuysen, Rodney ",https://frelinghuysen.house.gov/,Republican,Y,19.10%,"334,992",Joseph Wenzel,"68,482","562,901","25,364",398,"66,873",27,"1,600","9,887","735,532",Booker,Menendez,2306 RHOB,202-225-5034
NJ-12,New Jersey District 12,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_12th_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_12th_congressional_district,Bonnie Watson Coleman,"Watson Coleman, Bonnie ",https://watsoncoleman.house.gov/,Democrat,N,30.80%,"288,634",Steven Uccio,"112,361","369,392","125,942",985,"113,291",67,"5,137","10,822","737,997",Booker,Menendez,1535 LHOB,202-225-5801
NJ-2,New Jersey District 2,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_2nd_congressional_district,Frank A. LoBiondo,"LoBiondo, Frank ",https://lobiondo.house.gov/,Republican,N,22%,"297,795",David Cole,"108,630","491,519","90,392","1,831","27,454",226,"1,135","12,344","733,531",Booker,Menendez,2427 RHOB,202-225-6572
NJ-3,New Jersey District 3,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_3rd_congressional_district,Tom MacArthur,"MacArthur, Tom ",https://macarthur.house.gov/,Republican,Y,20.40%,"328,060",Frederick John Lavergne,"51,608","567,461","74,748",459,"24,884",149,"2,031","13,831","735,171",Booker,Menendez,506 CHOB,202-225-4765
NJ-4,New Jersey District 4,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_4th_congressional_district,Christopher H. Smith,"Smith, Chris ",https://chrissmith.house.gov/,Republican,N,30.20%,"332,684",Lorna Phillipson,"69,322","578,193","46,950",366,"27,641",106,"1,313","9,516","733,407",Booker,Menendez,2373 RHOB,202-225-3765
NJ-5,New Jersey District 5,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_5th_congressional_district,Josh Gottheimer,"Gottheimer, Josh ",https://gottheimer.house.gov/,Democrat,N,4.40%,"337,701",Scott Garrett,"87,753","534,408","32,469",941,"69,115",45,"1,844","9,228","735,803",Booker,Menendez,213 CHOB,202-225-4465
NJ-6,New Jersey District 6,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_6th_congressional_district,Frank Pallone Jr.,"Pallone Jr., Frank ",https://pallone.house.gov/,Democrat,N,28.80%,"263,435",Brent Sonnek-Schmelz,"151,165","374,952","67,994",801,"128,400",175,"1,649","11,710","736,846",Booker,Menendez,237 CHOB,202-225-4671
NJ-7,New Jersey District 7,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_7th_congressional_district,Leonard Lance,"Lance, Leonard ",https://lance.house.gov/,Republican,N,11%,"343,635",Peter Jacob,"84,910","547,833","29,661",571,"60,670",245,"2,804","9,089","735,783",Booker,Menendez,2352 RHOB,202-225-5361
NJ-8,New Jersey District 8,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_8th_congressional_district,Albio Sires,"Sires, Albio ",https://sires.house.gov/,Democrat,N,58.50%,"174,889",Agha Khan,"400,703","200,549","63,835",671,"60,216",427,"8,442","9,932","744,775",Booker,Menendez,2342 RHOB,202-225-7919
NJ-9,New Jersey District 9,NJ,New Jersey,https://en.wikipedia.org/wiki/New_Jersey%27s_9th_congressional_district,https://en.m.wikipedia.org/wiki/New_Jersey%27s_9th_congressional_district,Bill Pascrell Jr.,"Pascrell Jr., Bill ",https://pascrell.house.gov/,Democrat,N,41.70%,"233,242",Hector Castillo,"252,950","309,849","73,283",848,"90,198",180,"2,926","8,320","738,554",Booker,Menendez,2370 RHOB,202-225-5751
NM-1,New Mexico District 1,NM,New Mexico,https://en.wikipedia.org/wiki/New_Mexico%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/New_Mexico%27s_1st_congressional_district,Michelle Lujan Grisham,"Lujan Grisham, Michelle ",https://lujangrisham.house.gov/,Democrat,N,30.30%,"277,967",Richard Priem,"335,130","287,051","16,437","24,576","14,598",389,"1,625","11,818","691,624",Heinrich,Udall,214 CHOB,202-225-6316
NM-2,New Mexico District 2,NM,New Mexico,https://en.wikipedia.org/wiki/New_Mexico%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/New_Mexico%27s_2nd_congressional_district,Steve Pearce,"Pearce, Steve ",https://pearce.house.gov/,Republican,Y,25.50%,"228,816",Merrie Soules,"359,745","272,555","10,656","35,188","4,721",323,946,"7,742","691,876",Heinrich,Udall,2432 RHOB,202-225-2365
NM-3,New Mexico District 3,NM,New Mexico,https://en.wikipedia.org/wiki/New_Mexico%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/New_Mexico%27s_3rd_congressional_district,Ben Ray Luj†n,"Lujan, Ben R. ",https://lujan.house.gov/,Democrat,N,24.80%,"273,342",Michael H. Romero,"271,393","268,968","9,617","117,505","6,883",448,"1,028","10,364","686,206",Heinrich,Udall,2231 RHOB,202-225-6190
NY-1,New York District 1,NY,New York,https://en.wikipedia.org/wiki/New_York%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/New_York%27s_1st_congressional_district,Lee Zeldin,"Zeldin, Lee ",https://zeldin.house.gov/,Republican,Y,17.90%,"297,150",Anna Throne-Holst,"91,858","559,139","32,693","1,273","25,386",85,928,"9,056","720,418",Schumer,Gillibrand,1517 LHOB,202-225-3826
NY-10,New York District 10,NY,New York,https://en.wikipedia.org/wiki/New_York%27s_10th_congressional_district,https://en.m.wikipedia.org/wiki/New_York%27s_10th_congressional_district,Jerrold Nadler,"Nadler, Jerrold ",https://nadler.house.gov/,Democrat,N,56.20%,"245,928",Philip Rosenthal,"86,734","465,357","25,750","1,059","124,716",14,"1,793","13,021","718,444",Schumer,Gillibrand,2109 RHOB,202-225-5635
NY-11,New York District 11,NY,New York,https://en.wikipedia.org/wiki/New_York%27s_11th_congressional_district,https://en.m.wikipedia.org/wiki/New_York%27s_11th_congressional_district,Dan Donovan,"Donovan, Daniel ",https://donovan.house.gov/,Republican,N,24.90%,"232,097",Richard Reichard,"112,109","458,624","50,427",952,"87,724",138,"1,456","8,019","719,449",Schumer,Gillibrand,1541 LHOB,202-225-3371
NY-12,New York District 12,NY,New York,https://en.wikipedia.org/wiki/New_York%27s_12th_congressional_district,https://en.m.wikipedia.org/wiki/New_York%27s_12th_congressional_district,Carolyn B. Maloney,"Maloney, Carolyn ",https://maloney.house.gov/,Democrat,N,66.40%,"293,549",Robert Ardini,"96,147","476,460","30,418","1,150","87,595",466,"2,508","14,248","708,992",Schumer,Gillibrand,2308 RHOB,202-225-7944
NY-13,New York District 13,NY,New York,https://en.wikipedia.org/wiki/New_York%27s_13th_congressional_district,https://en.m.wikipedia.org/wiki/New_York%27s_13th_congressional_district,Adriano Espaillat,"Espaillat, Adriano ",https://espaillat.house.gov/,Democrat,N,81.90%,"233,192",Tony Evans,"400,300","98,716","195,539",943,"30,608",290,"4,380","10,788","741,564",Schumer,Gillibrand,1630 LHOB,202-225-4365
NY-14,New York District 14,NY,New York,https://en.wikipedia.org/wiki/New_York%27s_14th_congressional_district,https://en.m.wikipedia.org/wiki/New_York%27s_14th_congressional_district,Joseph Crowley,"Crowley, Joseph ",https://crowley.house.gov/,Democrat,N,65.70%,"178,132",Frank Spotorno,"339,298","175,006","67,416","1,078","115,892",343,"3,760","9,491","712,284",Schumer,Gillibrand,1035 LHOB,202-225-3965
NY-15,New York District 15,NY,New York,https://en.wikipedia.org/wiki/New_York%27s_15th_congressional_district,https://en.m.wikipedia.org/wiki/New_York%27s_15th_congressional_district,JosÇ E. Serrano,"Serrano, JosÇ E. ",https://serrano.house.gov/,Democrat,N,91.70%,"173,921",Alejandro Vega,"476,465","16,915","202,895","1,486","13,714",98,"4,087","5,517","721,177",Schumer,Gillibrand,2354 RHOB,202-225-4361
NY-16,New York District 16,NY,New York,https://en.wikipedia.org/wiki/New_York%27s_16th_congressional_district,https://en.m.wikipedia.org/wiki/New_York%27s_16th_congressional_district,Eliot L. Engel,"Engel, Eliot ",https://engel.house.gov/,Democrat,N,89.30%,"221,682",Derickson Lawrence,"169,663","283,608","226,175","1,213","33,129",456,"3,454","11,313","729,011",Schumer,Gillibrand,2462 RHOB,202-225-2464
NY-17,New York District 17,NY,New York,https://en.wikipedia.org/wiki/New_York%27s_17th_congressional_district,https://en.m.wikipedia.org/wiki/New_York%27s_17th_congressional_district,Nita M. Lowey,"Lowey, Nita ",https://lowey.house.gov/,Democrat,N,100%,"214,530",Unopposed,"147,252","450,192","70,812",907,"42,770",31,"2,488","10,846","725,298",Schumer,Gillibrand,2365 RHOB,202-225-6506
